"No.","Time","Source","Destination","Protocol","Info","IP Flags"
"51","4.037284810","192.168.0.106","128.119.245.12","HTTP","GET /wireshark-labs/INTRO-wireshark-file1.html HTTP/1.1 ","0x40"
"61","4.335579127","128.119.245.12","192.168.0.106","HTTP","HTTP/1.1 200 OK  (text/html)","0x00"
